                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     74,                 1.0935,                 1.1596,                 1.2075,                0.82322,                0.75358,                0.82913,                0.64724,                0.82097,                0.83981,                 1.0695,               0.002773,               0.002773,               0.002773
                     75,                 1.0605,                 1.0626,                 1.1931,                0.73398,                0.76763,                0.74597,                0.57799,                0.82629,                0.90109,                 1.0737,               0.002674,               0.002674,               0.002674
                     76,                 1.0365,                 1.0835,                 1.1878,                 0.7952,                0.78008,                0.82904,                0.64552,                0.81647,                0.83911,                 1.0667,               0.002575,               0.002575,               0.002575
                     77,                 1.0951,                 1.1021,                 1.2133,                0.87443,                0.75934,                0.85864,                0.65881,                0.81961,                0.78476,                 1.0749,               0.002476,               0.002476,               0.002476
                     78,                 1.1036,                 1.1556,                 1.2629,                0.85039,                0.75104,                0.84626,                0.65065,                0.85117,                0.78161,                 1.0872,               0.002377,               0.002377,               0.002377
                     79,                 1.0437,                 1.0558,                 1.2293,                0.82053,                0.75726,                0.84135,                 0.6461,                0.83027,                0.79842,                 1.0716,               0.002278,               0.002278,               0.002278
                     80,                  1.039,                 1.0792,                 1.2185,                0.86322,                0.72015,                0.84144,                0.64983,                0.81897,                0.77883,                 1.0633,               0.002179,               0.002179,               0.002179
                     81,                 1.0453,                 1.0997,                 1.1764,                0.76806,                0.78008,                0.83756,                0.65757,                0.80799,                0.77523,                 1.0511,                0.00208,                0.00208,                0.00208
                     82,                 1.0447,                 1.0453,                  1.199,                0.82401,                0.73029,                0.82378,                0.63802,                0.81307,                0.90321,                 1.0571,               0.001981,               0.001981,               0.001981
                     83,                  0.997,                 1.0251,                 1.2298,                0.83972,                0.77386,                0.86078,                0.67575,                0.78121,                0.74197,                 1.0466,               0.001882,               0.001882,               0.001882
                     84,                 1.0634,                 1.0939,                  1.205,                0.79971,                0.81535,                0.85983,                  0.679,                  0.784,                0.73504,                 1.0477,               0.001783,               0.001783,               0.001783
                     85,                 1.0112,                 1.0249,                 1.1728,                0.83719,                0.80014,                0.86556,                0.68383,                 0.7816,                0.74595,                 1.0353,               0.001684,               0.001684,               0.001684
                     86,                 1.0233,                 1.0229,                 1.1724,                0.85707,                0.79461,                0.86596,                0.69055,                0.76853,                0.71967,                  1.038,               0.001585,               0.001585,               0.001585
                     87,                0.98174,                0.99009,                 1.1606,                0.83187,                0.79461,                 0.8625,                0.68885,                0.77347,                0.73797,                 1.0395,               0.001486,               0.001486,               0.001486
                     88,                 1.0054,                 1.0206,                 1.1645,                0.84782,                0.78631,                0.86516,                0.68572,                0.76249,                0.71073,                   1.03,               0.001387,               0.001387,               0.001387
                     89,                 1.0259,                 1.0251,                 1.2298,                0.83855,                0.77178,                0.85619,                0.68246,                0.76003,                0.72204,                  1.034,               0.001288,               0.001288,               0.001288
                     90,                 1.0439,                 1.0119,                 1.1744,                 0.8951,                0.77894,                0.88937,                 0.6961,                 0.7673,                0.71321,                 1.0321,               0.001189,               0.001189,               0.001189
                     91,                0.95728,                  0.944,                 1.1439,                0.87155,                0.79876,                0.88616,                0.70134,                0.76296,                0.68242,                 1.0277,                0.00109,                0.00109,                0.00109
                     92,                0.99993,                0.99775,                 1.1541,                0.85495,                0.80913,                0.87795,                0.69971,                 0.7495,                0.67721,                 1.0255,               0.000991,               0.000991,               0.000991
                     93,                  1.008,                 1.0132,                 1.1836,                0.88498,                0.78008,                 0.8802,                0.70044,                0.75699,                0.67831,                 1.0214,               0.000892,               0.000892,               0.000892
                     94,                 1.0184,                  1.014,                 1.1692,                0.87282,                0.79734,                0.88455,                0.70589,                0.74851,                0.67308,                 1.0193,               0.000793,               0.000793,               0.000793
                     95,                0.93815,                0.91038,                 1.1346,                0.85779,                0.81743,                 0.8858,                0.71035,                0.74437,                 0.6619,                 1.0169,               0.000694,               0.000694,               0.000694
                     96,                0.99766,                0.99217,                 1.1756,                 0.8632,                0.81535,                0.88702,                0.70809,                 0.7429,                0.66606,                 1.0164,               0.000595,               0.000595,               0.000595
                     97,                0.93559,                0.89957,                 1.1294,                0.87072,                0.79876,                 0.8866,                0.71206,                0.73839,                0.66078,                 1.0169,               0.000496,               0.000496,               0.000496
                     98,                 0.9827,                0.98952,                 1.1906,                0.86746,                0.81472,                0.88803,                0.71097,                0.74131,                0.65876,                  1.015,               0.000397,               0.000397,               0.000397
                     99,                  0.976,                0.96106,                 1.1786,                0.85161,                0.82573,                0.88862,                0.71152,                0.73576,                0.66723,                 1.0108,               0.000298,               0.000298,               0.000298
